ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
29409882,LA BALIVERNE,RUE GRAND'RUE,MOLIERES,RUE GRAND&#39;RUE / 82220 MOLIERES / FR,"44,19203","1,36014"
29409884,BAR DES AMIS,BD LEONCE GRANIE 48,CAUSSADE,BD LEONCE GRANIE 48 / 82300 CAUSSADE / FR,"44,1611","1,5356"
29409885,LE QUERCY,AV DU QUERCY 25,VILLEFRANCHE DE ROUERGUE,AV DU QUERCY 25 / 12200 VILLEFRANCHE DE ROUERGUE / FR,"44,35327","2,03032"
29409887,LE DRAVEIL,AV HENRI BARBUSSE 105,DRAVEIL,AV HENRI BARBUSSE 105 / 91210 DRAVEIL / FR,"48,68574","2,40851"
29409889,LE PRESIDENT,AV DU PDT SALVADOR ALLENDE 233,COLOMBES,AV DU PDT SALVADOR ALLENDE 233 / 92700 COLOMBES / FR,"48,92274","2,24712"
29409890,MOORIS,RUE DE LA ROQUETTE 14,PARIS,RUE DE LA ROQUETTE 14 / 75011 PARIS / FR,"33,66094","-95,55551"
29409893,CAFE DU CENTRE,PL DE LA REPUBLIQUE 19,CYSOING,PL DE LA REPUBLIQUE 19 / 59830 CYSOING / FR,"50,56457","3,21402"
29409894,LYCEE PRO  ILE DE FLANDRE,QUAI DE LA DERIVATION,ARMENTIERES CEDEX  BP 106,QUAI DE LA DERIVATION / 59427 ARMENTIERES CEDEX  BP 106 / FR,"46,63611","1,38621"
29409895,ROYAL BOURSE OPERA,RUE DU 4 SEPTEMBRE 11,PARIS,RUE DU 4 SEPTEMBRE 11 / 75002 PARIS / FR,"33,66094","-95,55551"
29409899,CAFE DE ROUEN,PL DU VIEUX MARCHE ET 63 61,ROUEN,PL DU VIEUX MARCHE ET 63 61 / 76000 ROUEN / FR,"49,44352","1,08794"
29409901,CAFE DE LA ROSE,RTE DE GODEWAERSVELDE 48,FLETRE,RTE DE GODEWAERSVELDE 48 / 59270 FLETRE / FR,"50,7577","2,64154"
29409902,LE PRIEURE,QUAI YERMOLOFF 6,LA TRONCHE,QUAI YERMOLOFF 6 / 38700 LA TRONCHE / FR,"45,46679","1,73696"
29409903,HOTEL LES BALLADINS,RUE BOULANGER ZI DU BREZET 43,CLERMONT FERRAND,RUE BOULANGER ZI DU BREZET 43 / 63100 CLERMONT FERRAND / FR,"45,78592","3,1154"
29409904,L'ARLEQUIN,PL CALMETTE 31,PETIT FORT PHILIPPE,PL CALMETTE 31 / 59820 PETIT FORT PHILIPPE / FR,"43,10986","-79,10586"
29409906,CAMPING DE NEUVIC,.,NEUVIC SUR L'ISLE,. / 24190 NEUVIC SUR L&#39;ISLE / FR,"45,0892","0,46638"
29409907,LE ST VINCENT,ZAC DU MOULIN CC AUCHAN,FACHES THUMESNIL,ZAC DU MOULIN CC AUCHAN / 59155 FACHES THUMESNIL / FR,"50,58794","3,07624"
29409908,LE YEARLING,RUE FERNAND DARCHICOURT 1,HENIN BEAUMONT,RUE FERNAND DARCHICOURT 1 / 62110 HENIN BEAUMONT / FR,"50,42046","2,94786"
29409909,LE PONT DE ROCHE BRUNE,. . .,ROCHE BRUNE,. . . / 05190 ROCHE BRUNE / FR,"44,45217","6,19209"
29409911,EL BARRIO,PL GEORGES CLEMENCEAU 3,LORGUES,PL GEORGES CLEMENCEAU 3 / 83510 LORGUES / FR,"43,48175","6,35875"
29409912,CHEZ CHEN,RUE DE L OURCQ 48,PARIS,RUE DE L OURCQ 48 / 75019 PARIS / FR,"48,89186","2,38015"
29409913,LE STELLA,RUE HENRI MAYER 5,ISSY LES MOULINEAUX,RUE HENRI MAYER 5 / 92130 ISSY LES MOULINEAUX / FR,"48,8281","2,27545"
29409916,CAFÄ DES PROMENADES,ALL DE LA LIBERATION 1,SOREZE,ALL DE LA LIBERATION 1 / 81540 SOREZE / FR,"43,44099","2,08048"
29442040,GASSE NOISETTE,RUE DU PONT 2,ROMORANTIN,RUE DU PONT 2 / 41200 ROMORANTIN / FR,,
29442041,LE STARLING,RUE DE LA RABATERIE 27,SAINT PIERRE DES CORPS,RUE DE LA RABATERIE 27 / 37700 SAINT PIERRE DES CORPS / FR,"47,38963","0,72039"
29442042,TAXI AUDONIEN,RUE DE LA POSTE 41,ST OUEN LES VIGNES,RUE DE LA POSTE 41 / 37530 ST OUEN LES VIGNES / FR,"46,22475","0,64932"
29442043,LE MARRONNIER,LE PASSOIR .,SAINT GUYOMARD,LE PASSOIR . / 56460 SAINT GUYOMARD / FR,"47,77945","-2,50224"
29442044,L'ATLANTIQUE,BOULEVARD GAMBETTA 107,MORLAIX,BOULEVARD GAMBETTA 107 / 29600 MORLAIX / FR,"45,99524","2,02179"
29442045,LE TERROIR,RUE MAO 1,SAINT-YVI,RUE MAO 1 / 29140 SAINT-YVI / FR,"47,96744","-3,93379"
29442047,BISTROT FERNAND,BLD FERNAND MOUREAUX 58,TROUVILLE SUR MER,BLD FERNAND MOUREAUX 58 / 14360 TROUVILLE SUR MER / FR,"49,37248","0,1014"
29442049,SO BAR,LE LAVACHET,TIGNES,LE LAVACHET / 73320 TIGNES / FR,"45,48165","6,93642"
29442050,THE MARMOT ARMS,RUE DE LA POSTE,TIGNES,RUE DE LA POSTE / 73320 TIGNES / FR,"45,48165","6,93642"
29442051,LE CHEVILLARD,BD MARECHAL LECLERC 4,TOULOUSE,BD MARECHAL LECLERC 4 / 31000 TOULOUSE / FR,"43,60692","1,43088"
29442052,LES ZYGOS,PLACE DUPUY .,TOULOUSE,PLACE DUPUY . / 31000 TOULOUSE / FR,"43,59605","1,43214"
29442054,LE BISTROT DE FANNY,GRANDE RUE,ROYAN,GRANDE RUE / 17200 ROYAN / FR,"45,62558","-1,02693"
29442055,COMPTOIR DES VIGNES,COULOIR DE L'EUROPE 37,ROYAN,COULOIR DE L&#39;EUROPE 37 / 17200 ROYAN / FR,"45,62558","-1,02693"
29442056,LATINO,RELIGIEUSE ANGLAISE 1,BOULOGNE SUR MER,RELIGIEUSE ANGLAISE 1 / 62200 BOULOGNE SUR MER / FR,"50,72612","1,63798"
29442057,AU COIN DES AMIS,.,VAL D'ISERE,. / 73150 VAL D&#39;ISERE / FR,"45,44892","6,98015"
29442058,LA FABRIC,. . .,VALMEINIER,. . . / 73450 VALMEINIER / FR,"45,15208","6,50828"
29442059,BAR LA BARAQUE,RUE DE THERE 63,BEAUVAIS,RUE DE THERE 63 / 60000 BEAUVAIS / FR,"48,50687","2,44834"
29442060,LATELIER 40,AVENUE DES FRUITIERS 40,SAINT DENIS,AVENUE DES FRUITIERS 40 / 93200 SAINT DENIS / FR,"48,92049","2,35432"
29442061,D'ABORD LES COPAINS,AVENUE GEORGES CLEMENCEAU 66,LE PERREUX-SUR-MARNE,AVENUE GEORGES CLEMENCEAU 66 / 94170 LE PERREUX-SUR-MARNE / FR,"48,83968","2,50785"
29442062,LE SAINT MARS,RUE D'ANJOU 7,ST MARS LA JAILLE,RUE D&#39;ANJOU 7 / 44540 ST MARS LA JAILLE / FR,,
29442066,OCEAN MAYENNE,LA BOTELIERE,ARON,LA BOTELIERE / 53440 ARON / FR,"24,39906","77,41772"
29442067,OPHELIA,RUE DU MAINE 37,BONCHAMP LES LAVAL,RUE DU MAINE 37 / 53960 BONCHAMP LES LAVAL / FR,"48,0677","-0,69907"
29442068,CHINATOWN,RUE RUE SAINTE MARGUERITTE RUE,DAVEZIEUX,RUE RUE SAINTE MARGUERITTE RUE / 07420 DAVEZIEUX / FR,"45,25555","4,70615"
29442069,LA PROMENADE,AVENUE DE QUEBEC 9,ST VALLIER,AVENUE DE QUEBEC 9 / 26240 ST VALLIER / FR,"45,29474","-0,0616"
29442070,LE COQ HARDY,RUE CAROLY MARY 65,HAUTMONT,RUE CAROLY MARY 65 / 59330 HAUTMONT / FR,"50,24589","3,91961"
29442071,CHEZ BRAHIM,CENTRE COMMERCIAL DE LA MOISERIE,CHATEAU THIERRY,CENTRE COMMERCIAL DE LA MOISERIE / 02400 CHATEAU THIERRY / FR,"49,05642","3,38153"
29442072,LE CENTRE,RUE DU GENERAL DE GAULLE 2,CRAMANT,RUE DU GENERAL DE GAULLE 2 / 51530 CRAMANT / FR,"48,98717","4,00058"
29442073,AMICALE LAIQUE,RUE JULES FERRY 20,LE PALAIS-SUR-VIENNE,RUE JULES FERRY 20 / 87410 LE PALAIS-SUR-VIENNE / FR,"45,87373","1,32452"
29442074,COOL SIDE 87,IMPASSE DE LA MAIRIE,SAINT SYLVESTRE,IMPASSE DE LA MAIRIE / 87240 SAINT SYLVESTRE / FR,"45,99524","1,37771"
29442075,LE PORTELETTE,5 ALLÉE DES CHENES,ISLE,5 ALLÉE DES CHENES / 87170 ISLE / FR,"45,80457","1,22604"
29652896,ASSO LA JEUNE FRANCE,RUE DES PRES FLEURIS 4,HERBAULT,RUE DES PRES FLEURIS 4 / 41190 HERBAULT / FR,"47,6041","1,1403"
29652897,LA SARRAZINE,RUE DU PONT 21,BLERE,RUE DU PONT 21 / 37150 BLERE / FR,"47,32742","0,99212"
29652898,CHEZ GIGI,RUE DU MOULIN,LE LOUROUX,RUE DU MOULIN / 37240 LE LOUROUX / FR,"47,15654","0,76168"
29652899,EPAF VACANCE,RUE DE LA CARTE,BALLAN MIRE,RUE DE LA CARTE / 37510 BALLAN MIRE / FR,"47,34096","0,61413"
29652900,LE CAFE CERE,RUE RABELAIS 9,CERE LA RONDE,RUE RABELAIS 9 / 37460 CERE LA RONDE / FR,"47,25401","1,18143"
29652901,LE DONG,PL SERAUCOURT 35,BOURGES,PL SERAUCOURT 35 / 18000 BOURGES / FR,"47,07698","2,4004"
29652902,FESTIVAL LES COURANTS,PARC DE L ILE D'OR,AMBOISE,PARC DE L ILE D&#39;OR / 37400 AMBOISE / FR,"47,415885","0,98386"
29652903,LE KILOMETRE,LA BANDE D'EN BAS 0,LA BORNE,LA BANDE D&#39;EN BAS 0 / 18250 LA BORNE / FR,"45,9593","2,1253"
29652904,LE RENCARD,RUE JEAN-BAPTISTE TORRILHON 2,CLERMONT-FERRAND,RUE JEAN-BAPTISTE TORRILHON 2 / 63000 CLERMONT-FERRAND / FR,"45,78592","3,1154"
29652906,LE BERCAIL,RUE LEONARD DE VINCI (CC E.LECLERC) 58,PARTHENAY,RUE LEONARD DE VINCI (CC E.LECLERC) 58 / 79200 PARTHENAY / FR,"46,39907","-0,13463"
29652907,CAVE DE LA MADELEINE,ROUTE DE ROANNE 551,SAINT GERMAIN LAVAL,ROUTE DE ROANNE 551 / 42260 SAINT GERMAIN LAVAL / FR,"48,40901","2,99513"
29652908,TOTAL BIERE,AVENUE DE VICHY 84,BELLERIVE SUR ALLIER,AVENUE DE VICHY 84 / 03700 BELLERIVE SUR ALLIER / FR,"46,12158","3,39716"
29652909,AUBERGE DES  BUTTONS,LE RIANVERT,ROSNAY,LE RIANVERT / 36300 ROSNAY / FR,"46,53283","-1,30088"
29652910,ENTENTE FOOTBALL CLUB,RUE JULES PARISE 5 BIS,CLION,RUE JULES PARISE 5 BIS / 36700 CLION / FR,"45,48035","-0,50054"
29652911,LE BLUE MOAI,RUE DE LA REPUBLIQUE 130,CHATEAU RENAULT,RUE DE LA REPUBLIQUE 130 / 37110 CHATEAU RENAULT / FR,"47,59259","0,90912"
29652914,LE PAOLI,BD EUGENE PIERRE 59,MARSEILLE,BD EUGENE PIERRE 59 / 13005 MARSEILLE / FR,"43,29222","5,42017"
29652915,LE MOBY'S CAFE,BOULEVARD DE L YSER 38,ROUEN,BOULEVARD DE L YSER 38 / 76000 ROUEN / FR,"49,44146","1,09346"
29652916,LE BALI,BOULEVARD BAILLE 185,MARSEILLE,BOULEVARD BAILLE 185 / 13005 MARSEILLE / FR,"43,29222","5,42017"
29652918,MI BARRIO,RUE PERCIERE 4,ROUEN,RUE PERCIERE 4 / 76000 ROUEN / FR,"49,44146","1,09346"
29652919,CHEZ GAB'S,RUE JEAN JACQUES ROUSSEAU 12,PARIS,RUE JEAN JACQUES ROUSSEAU 12 / 75001 PARIS / FR,"33,66094","-95,55551"
29652963,BLACK BUILDING,RUE DU GRAND SAINT JEAN 13,MONTPELLIER,RUE DU GRAND SAINT JEAN 13 / 34000 MONTPELLIER / FR,"43,61342","3,8693"
29652964,L'ARGOAT,PLACE POBEGUIN 22,CLEGUEREC,PLACE POBEGUIN 22 / 56480 CLEGUEREC / FR,"48,12368","-3,06912"
29652965,L ILE DE MAN,RUE LEON DUBRESSONN 43,SAINT PIERRE DES CORPS,RUE LEON DUBRESSONN 43 / 37700 SAINT PIERRE DES CORPS / FR,"47,38963","0,72039"
29652966,LE DO RE MI,RUE DE L ERVE 1,SAINT REMY EN MAUGES,RUE DE L ERVE 1 / 49110 SAINT REMY EN MAUGES / FR,"47,25536","-0,98569"
