Ship to number;Ship to Name;Sous groupement;Regroupement
29379666;COZIGOU COTE D EMERAUDE;COZIGOU;C10
40002273;COZIGOU RENNES;COZIGOU;C10
29379615;MAYENNE BOISSONS DISTRIBUTION;OUEST BOISSONS;DISTRI BOISSONS
29833288;OUEST BOISSONS FOUGERES;OUEST BOISSONS;INDEPENDANTS CHD HORS GRPTS
29833264;OUEST BOISSONS RENNES;OUEST BOISSONS;INDEPENDANTS CHD HORS GRPTS
29379896;AUDEBERT BOISSONS;AUDEBERT BOISSONS;C10
29379897;FRANCE BOISSONS CLERMONT;France BOISSONS;FR BOISSONS
29379627;PAPUT BOISSONS;PAPUT BOISSONS;DISTRI BOISSONS
29379626;SOUCHON BOISSONS SERVICES;SOUCHON BOISSONS SERVICES;DISTRI BOISSONS
29379628;UDIVEL;UDIVEL;DISTRI BOISSONS
40001994;VEDEL BOISSONS;UDIVEL;INDEPENDANTS CHD HORS GRPTS
29378875;ONDET ET FILS;PAPUT BOISSONS;DISTRI BOISSONS
29378784;ALLAN BOISSONS;ALLAN;INDEPENDANTS CHD HORS GRPTS
29378892;AU COMPTOIR DU LITTORAL;AU COMPTOIR DU LITTORAL (Berck sur Mer);DISTRI BOISSONS
29563814;ATLANTIQUE BOISSONS NANTES;ATLANTIQUE BOISSONS NANTES;C10
29379605;France BOISSONS NANTES;France BOISSONS;FR BOISSONS
29379629;GUICHET BOISSONS SAS;GUICHET FILS;C10
29635311;B.B.C.D.;B.B.C.D. (Hirson);DISTRI BOISSONS
29727962;B V B;BVB;INDEPENDANTS CHD HORS GRPTS
29563836;ATLANTIQUE BOISSONS REDON;BARRE;C10
29379622;BARRE ET FRERES;BARRE;C10
29379621;FRANCE BOISSONS RENNES;France BOISSONS;FR BOISSONS
29379377;ANJOU BOISSONS;OUEST BOISSONS;DISTRI BOISSONS
29379610;ETS PLUMEJEAU;ETS PLUMEJEAU;C10
29630747;FRANCE BOISSONS ANGERS;France BOISSONS;FR BOISSONS
29379831;SARTHE BOISSONS;OUEST BOISSONS;DISTRI BOISSONS
29379101;STOKBOX;OBD;C10
29379641;COUPEZ JEAN;COUPEZ JEAN;DISTRI BOISSONS
29379639;ETS PLOUVIER;ETS PLOUVIER;INDEPENDANTS CHD HORS GRPTS
29379650;EXPLOITATION ETS POIRETTE;EXPLOITATION ETS POIRETTE;C10
29378992;DISTRIBUTION VINS BOISSONS;DISTRIBUTION vins boissons (La Garde);C10
29379855;OLIVIER FRERES;OLIVIER FRERES;C10
29596966;RNV DISTRIBUTION;MONTANER;DISTRI BOISSONS
